log(MSE-SVD-components),comp
6.30095833,40
4.260865445,40
5.27007185,40
5.167771451,40
6.205051101,40
5.413101049,40
4.645423562,40
6.951423897,40
7.227605773,40
7.777485275,40
7.082677921,40
5.979819476,40
7.229404063,40
6.522937083,40
4.430545374,40
6.896735957,40
4.187857214,40
3.789518759,40
6.089819003,40
3.185458649,40
5.802035394,40
7.371864677,40
4.444120047,40
6.695707115,40
6.423130831,40
4.656130119,40
3.48592832,40
6.407173058,40
5.2548498,40
6.086040822,40
5.094589643,40
6.513740991,40
5.572768604,40
4.264669491,40
6.423835542,40
6.563288186,40
6.571470958,40
5.889395693,40
7.599546858,40
8.712308996,40
5.276342058,40
9.210234229,40
5.49074577,40
6.284382712,40
5.918259839,40
4.83192525,40
5.963920863,40
3.140545365,40
3.816359919,40
4.977573465,40
5.994879691,40
4.842454856,40
6.572551701,40
7.526666903,40
5.529156875,40
5.285407472,40
5.188877497,40
7.639594,40
4.602287923,40
5.492546719,40
4.199211105,40
6.833015652,40
9.029791074,40
6.613616289,40
6.155735074,40
8.612887234,40
5.789069445,40
2.961077233,40
5.593755746,40
4.883236241,40
6.468303327,40
4.918011049,40
3.643870261,40
8.039592777,40
6.718566846,40
8.136087546,40
5.426713373,40
8.05115516,40
7.66992477,40
4.655718505,40
3.698776755,40
4.442050239,40
4.848583593,40
6.261042818,40
4.407714295,40
4.231796001,40
5.829560986,40
6.859807918,40
5.966950163,40
3.748771026,40
7.147114146,40
5.418664995,40
6.934567672,40
5.15103348,40
7.179997727,40
7.799668641,40
6.48460332,40
6.591555967,40
6.97777858,40
6.952536287,40
8.854750916,40
7.465260495,40
5.080106621,40
6.826541202,40
5.830513127,40
2.512537778,40
6.122264738,40
7.06886458,40
4.788637657,40
6.463473244,40
8.308887924,40
6.072198403,40
6.858582585,40
7.090637121,40
4.324481628,40
6.3597289,40
7.096410963,40
5.123410059,40
4.763191061,40
8.924095797,40
4.585267471,40
6.856254685,40
6.617465113,40
5.58470223,40
6.241354443,40
5.233650338,40
7.238242035,40
6.207482214,40
5.038980459,40
6.007446384,40
4.403627732,40
5.828405894,40
5.182698059,40
6.083647652,40
5.922822444,40
4.916870428,40
6.100094356,40
5.880899301,40
4.653600759,40
6.436838342,40
5.577664591,40
7.050517278,40
4.912550649,40
4.154932562,40
6.706259937,40
5.530850595,40
5.732347382,40
8.420139691,40
5.039412086,40
3.838569867,40
5.360297988,40
5.811471652,40
6.763061882,40
2.417610967,40
5.804540205,40
5.609034113,40
7.40941233,40
5.978826582,40
5.840626443,40
4.87012731,40
8.932305494,40
6.76420161,40
5.12859518,40
7.703457141,40
7.4521971,40
6.067553833,40
7.126216008,40
7.016870431,40
5.802403273,40
3.923377367,40
6.756433231,40
2.570416983,40
5.627187352,40
6.249147007,40
5.767099117,40
5.726131869,40
5.123399336,40
3.268864466,40
4.379611879,40
6.534060576,40
5.785729168,40
6.136639002,40
5.188668682,40
4.882609088,40
5.516415067,40
6.381898195,40
9.121171814,40
4.952599672,40
5.369989639,40
4.785410441,40
6.696945083,40
8.23783047,40
6.593822952,40
4.964046364,40
4.233320479,40
4.514566048,40
5.87709954,40
8.208600519,40
5.747487078,40
6.877656869,40
5.962210372,40
5.781304072,40
7.465391666,40
6.03305574,40
3.89514647,40
3.289421202,40
6.899765022,40
8.249317448,40
5.390046563,40
7.122430408,40
7.65527218,40
5.299771692,40
4.79051071,40
5.460456185,40
5.964888506,40
5.476007408,40
5.570976324,40
4.817477527,40
4.707674056,40
6.471521508,40
4.349822432,40
5.831323026,40
5.130422974,40
8.317386171,40
7.950045121,40
8.184997482,40
5.504130581,40
4.946257567,40
7.332118377,40
3.84547237,40
4.158209801,40
3.613055157,40
4.266149202,40
6.246511071,40
4.967873872,40
5.20800462,40
5.863625367,40
5.549965983,40
4.277301064,40
7.039157138,40
4.603732691,40
3.486103077,40
6.841531028,40
5.062714489,40
2.764817631,40
7.55409007,40
5.754645249,40
8.085816448,40
5.399759939,40
5.548027607,40
5.713925763,40
3.63309442,40
8.487710802,40
3.376093435,40
4.581384907,40
8.558211285,40
8.238154976,40
5.227334541,40
4.164196643,40
4.636752063,40
8.248327726,40
5.742354821,40
4.95841555,40
5.959317939,40
6.192189729,40
4.361043284,40
7.160930561,40
4.279915829,40
5.980167068,40
6.854922956,40
7.687441962,40
7.849989044,40
4.493377966,40
6.648543331,40
9.037780922,40
6.75063403,40
5.033718062,40
7.305470668,40
6.76529734,40
6.65339356,40
7.48923704,40
6.334411255,40
8.957136586,40
7.309216819,40
5.247437821,40
6.711063024,40
5.299763997,40
6.101993348,40
7.557505267,40
8.995095534,40
5.702302345,40
5.658130501,40
5.686831241,40
2.553335974,40
4.874520699,40
3.510697875,40
5.652714289,40
5.997053339,40
7.081598755,40
5.176131887,40
6.827500775,40
6.794911644,40
8.02389884,40
5.945620551,40
5.133560882,40
4.084626987,40
5.062039865,40
4.722631582,40
6.522966162,40
7.597656689,40
4.786164619,40
4.736289328,40
4.989256242,40
6.956135014,40
6.844655046,40
6.03450147,40
6.789205856,40
5.747178741,40
5.86508365,40
8.60199247,40
4.399209287,40
3.561377993,40
6.844358586,40
7.852552179,40
4.198308229,40
3.187369033,40
2.464922732,40
5.541821263,40
5.439486373,40
7.373975123,40
5.905169494,40
5.716381403,40
6.961471817,40
7.356655926,40
7.418393104,40
4.244409541,40
6.876243259,40
7.220741007,40
0.114427259,40
3.603234331,40
6.499066635,40
6.578890192,40
5.883094118,40
2.995604855,40
6.48253615,40
8.513289782,40
5.745565775,40
7.879674805,40
6.835627961,40
3.614101103,40
6.923480595,40
2.217563146,40
4.608791095,40
7.159128209,40
5.843660598,40
5.654276715,40
2.464029837,40
4.247214646,40
8.132623858,40
5.76053717,40
5.684126651,40
3.186655745,40
7.083740658,40
5.237367289,40
3.090511029,40
5.696900582,40
7.79872737,40
7.674083552,40
1.919408498,40
7.48724684,40
5.703717419,40
5.700721357,40
6.690964681,40
4.230199488,40
2.12682582,40
5.159638033,40
7.101082362,40
8.218628382,40
8.286536048,40
4.332139573,40
5.945801646,40
6.650850725,40
4.390992629,40
6.154696714,40
5.41897002,40
5.232794719,40
6.571313898,40
8.234648697,40
5.626522262,40
6.936796704,40
5.984010189,40
4.246143716,40
4.797203822,40
6.351986673,40
6.753284073,40
7.64206363,40
7.166706556,40
4.407112921,40
7.567990716,40
6.467336098,40
4.243479984,40
6.820975193,40
5.982446151,40
6.693854522,40
3.849744299,40
4.143162579,40
7.078765468,40
6.926541124,40
2.587947812,40
3.297087305,40
6.992223244,40
5.044011276,40
5.464765582,40
5.578368218,40
7.096674969,40
5.143485544,40
4.095405248,40
4.846957102,40
5.047987408,40
7.164410942,40
7.349803832,40
6.465132029,40
6.778505131,40
4.694542919,40
5.192772372,40
7.498498435,40
5.270871002,40
5.683221537,40
2.947573357,40
6.212856137,40
4.195243924,40
3.466070586,40
6.793974179,40
6.342047808,40
7.045767286,40
6.396686833,40
5.253635246,40
7.723758266,40
9.099055447,40
5.436790836,40
4.642337512,40
5.457656047,40
4.981645618,40
3.867662986,40
4.826243848,40
7.478392013,40
5.894538221,40
6.553161233,40
5.030229263,40
5.895093235,40
5.009679434,40
7.633442115,40
6.019152881,40
4.397664338,40
6.370137127,40
5.681110298,40
7.805683426,40
7.8719813,40
2.962560247,40
6.246471816,40
5.935698309,40
6.573988151,40
5.306908288,40
4.659726051,40
5.616235732,40
9.139843774,40
5.374615066,40
5.672293057,40
6.419232245,40
2.046591636,40
5.545160338,40
6.169010959,40
6.913487021,40
6.495038377,40
4.862148408,40
4.838691344,40
7.194136258,40
5.921277085,40
7.422185124,40
7.135896502,40
4.392269672,40
5.386522006,40
4.390947828,40
6.279762828,40
8.721470417,40
5.647029916,40
4.769955946,40
7.407392752,40
7.380069745,40
6.35913079,40
8.212374236,40
6.163243101,40
7.747076969,40
5.538654242,40
5.660853184,40
3.180352086,40
8.089799194,40
7.413372232,40
5.715934645,40
5.79011312,40
5.888020859,40
4.698755607,40
5.548956442,40
6.639125638,40
5.888102291,40
5.198703214,40
5.754174062,40
5.941957986,40
7.013470373,40
4.8599172,40
3.887866069,40
7.266006872,40
6.066546144,40
8.319370316,40
6.903024502,40
6.817921703,40
7.158386611,40
8.01576378,40
4.188811685,40
7.788110897,40
7.236748379,40
2.943412902,40
7.184924371,40
4.066330272,40
6.41610453,40
4.285844206,40
6.298121676,40
2.971367881,40
4.214850802,40
7.470731434,40
5.550613191,40
-0.527095984,40
5.835939518,40
4.816892933,40
5.612860262,40
6.637326783,40
4.925208465,40
7.159524426,40
6.593649958,40
2.42410598,40
5.880791202,40
3.870802296,40
5.123223018,40
4.24911325,40
7.130010655,40
6.303585765,40
6.501656043,40
7.37828881,40
7.818882452,40
6.960974996,40
5.759462485,40
8.494983616,40
5.553003527,40
6.95172332,40
5.74140796,40
5.873194781,40
7.939521144,40
1.93331459,40
5.653053971,40
7.312283659,40
5.770172651,40
7.860515351,40
3.975247645,40
4.176826872,40
5.954297221,40
7.32855065,40
5.318811113,40
5.889927896,40
5.977140337,40
4.6718458,40
6.669599513,40
6.775084548,40
2.441235844,40
6.068620896,40
5.858517526,40
5.28791725,40
7.5747068,40
7.265524835,40
6.700044097,40
6.894169358,40
7.239269205,40
3.458303067,40
5.182168118,40
5.560669659,40
3.288342217,40
8.479761101,40
3.420997216,40
8.526859928,40
8.226524698,40
5.182942546,40
5.284463218,40
5.268656096,40
7.197543348,40
5.662377403,40
7.707627236,40
6.253681377,40
5.243469854,40
5.811451922,40
6.105363265,40
6.689486283,40
5.777863184,40
6.605348259,40
6.272287296,40
6.224190549,40
2.902761122,40
4.39508097,40
6.520535908,40
4.490950625,40
5.709077776,40
1.656063347,40
7.083255797,40
4.451561352,40
4.90800452,40
7.390454184,40
3.065156672,40
5.011436161,40
5.396895488,40
6.588575842,40
3.228316594,40
4.795358036,40
4.576106734,40
6.716237347,40
4.287357519,40
2.288093077,40
4.943664673,40
6.54313798,40
6.237694823,40
5.732556055,40
4.235078172,40
6.221902656,40
6.250117098,40
6.710141641,40
6.177518867,40
5.920604942,40
7.212815056,40
8.401076888,40
4.462713408,40
5.554300631,40
5.381153832,40
6.056746598,40
4.983858151,40
5.905063987,40
3.514270995,40
5.613811789,40
5.092436802,40
6.223730305,40
4.827991786,40
6.788703836,40
4.265702348,40
6.502699313,40
6.792691072,40
5.813183127,40
7.790326262,40
5.970650289,40
8.904046051,40
6.568933152,40
8.02504441,40
3.272159112,40
3.36080985,40
4.947910557,40
4.759258259,40
6.243256737,40
6.653757503,40
8.051817387,40
5.17294768,40
8.304150621,40
2.213241119,40
4.776044304,40
6.254092842,40
7.656791276,40
2.445626934,40
0.785135142,40
6.97391669,40
5.866058796,40
5.209987316,40
6.08186476,40
6.591757327,40
7.921126756,40
4.461868141,40
6.993127295,40
8.61151201,40
5.045554157,40
5.147542825,40
7.698093623,40
5.993232621,40
4.863065156,40
4.552040457,40
4.927612092,40
5.046168818,40
3.676312261,40
7.339879919,40
4.687240162,40
7.630414299,40
6.511644317,40
2.280482888,40
4.054137604,40
5.570751736,40
1.957817128,40
5.692147875,40
2.808924043,40
4.941997127,40
6.917577443,40
6.752538563,40
0.207357991,40
6.644414036,40
6.664498564,40
6.391740459,40
4.723837976,40
7.194653693,40
7.035173308,40
-0.207526691,40
4.648026877,40
4.991943414,40
7.971132809,40
4.854655499,40
5.962030731,40
6.250590766,40
6.495796177,40
5.017712244,40
5.034770992,40
5.290559231,40
6.757585412,40
5.647043267,40
3.998524024,40
6.718942239,40
7.932892648,40
8.309644609,40
5.834418349,40
6.677123587,40
5.562432511,40
3.311117336,40
6.117779536,40
6.288847765,40
5.009249141,40
6.259912843,40
7.258665436,40
7.549852048,40
3.435307448,40
4.5665911,40
2.77108078,40
5.216791461,40
5.834277742,40
6.254786546,40
7.342947842,40
5.898410126,40
6.118724158,40
5.551607381,40
8.066818495,40
6.183281123,40
6.444961024,40
7.398162712,40
3.703661475,40
6.245544605,40
5.59552521,40
4.484699062,40
4.63369797,40
4.950584734,40
4.151095413,40
1.772683202,40
6.62213746,40
4.865186302,40
5.665320897,40
6.360500134,40
5.477731844,40
3.484563325,40
5.930838852,40
3.978869614,40
5.537831676,40
6.869704982,40
7.027678641,40
5.78758627,40
6.141272861,40
5.978295597,40
8.131576463,40
3.031675933,40
4.068861111,40
4.038226436,40
6.118345375,40
4.46804032,40
6.226499004,40
5.040967502,40
3.660321932,40
2.149226031,40
4.502383057,40
7.354059149,40
3.765610103,40
1.799791397,40
5.131840383,40
6.811273568,40
7.157789198,40
3.799746403,40
6.195031148,40
6.203885657,40
6.160315412,40
7.016832875,40
7.893139046,40
7.581764723,40
7.463806765,40
5.331544652,40
7.933870158,40
6.683409242,40
7.886648077,40
6.586372251,40
5.470250692,40
7.355229899,40
5.512250049,40
4.690850518,40
4.849270699,40
6.630381023,40
6.376412458,40
7.413267532,40
4.840291883,40
5.911274473,40
7.052856812,40
4.911295593,40
6.31704787,40
7.707812415,40
6.476504865,40
6.447938141,40
5.079932752,40
6.908053391,40
7.468193526,40
6.894863484,40
5.375420036,40
8.52894501,40
2.866221109,40
6.007118099,40
6.777972658,40
5.249747668,40
5.972218404,40
6.209556389,40
4.484302411,40
5.246289292,40
8.434170886,40
2.378732284,40
6.102094032,40
6.440789024,40
7.589334434,40
5.57269392,40
3.882373602,40
5.581805342,40
7.364891162,40
2.403643766,40
5.782138768,40
6.226966989,40
6.175013143,40
7.303123102,40
5.196739209,40
5.942695562,40
6.611444636,40
6.742851755,40
6.707519088,40
3.24841685,40
5.557678363,40
6.479003989,40
8.81157007,40
5.23552821,40
5.925756193,40
2.651475759,40
6.907494152,40
6.689393786,40
6.586313667,40
5.847967718,40
7.173868166,40
5.585724934,40
8.98977642,40
4.980841484,40
7.257935942,40
7.057068839,40
3.009578687,40
2.697889297,40
3.996402468,40
3.383582515,40
4.807962791,40
4.428038204,40
6.523426312,40
7.657817674,40
7.283826923,40
7.007195131,40
3.956979799,40
6.987777953,40
7.50670686,40
5.889707844,40
6.284479019,40
4.392213789,40
3.293467253,40
6.419363328,40
2.979772306,40
5.975716888,40
5.333278494,40
6.754599725,40
5.599990067,40
5.406783384,40
4.432276399,40
5.726742123,40
6.456351017,40
7.202783646,40
3.544754427,40
6.328513563,40
6.37422725,40
6.83522539,40
4.627257374,40
4.816231272,40
5.950051259,40
4.59223981,40
5.204843474,40
4.765828315,40
4.952341557,40
6.136247109,40
4.691112813,40
6.734366345,40
8.299316826,40
5.514428189,40
4.279887312,40
2.367979171,40
4.124937662,40
4.942566678,40
6.140688538,40
4.898708377,40
7.370085711,40
5.896780083,40
4.870960745,40
8.211387481,40
7.240137141,40
4.151477389,40
5.779274391,40
3.769662995,40
4.326143984,40
7.38252746,40
3.813060504,40
4.715426458,40
1.639125888,40
7.110354131,40
6.836616426,40
7.928877579,40
5.724264137,40
3.63260382,40
7.26056179,40
7.424522133,40
8.098231426,40
6.196947448,40
4.060337772,40
7.573308104,40
5.123939729,40
2.654754664,40
3.292705612,40
5.056940568,40
5.492807412,40
8.126886919,40
8.022996497,40
6.015814634,40
4.639391734,40
6.531287863,40
7.993359866,40
6.546273815,40
6.162593815,40
6.537667021,40
4.926790175,40
4.608889153,40
7.287963039,40
6.856885174,40
7.587421441,40
5.034745968,40
7.687253993,40
4.974288718,40
4.40431664,40
3.108133148,40
3.737908281,40
1.308175271,40
6.003385511,40
4.969262348,40
7.439014955,40
5.127253734,40
6.306501637,40
6.388323571,40
6.233439017,40
3.864868313,40
7.184641751,40
4.428889975,40
7.623999584,40
6.986541061,40
6.02751816,40
7.090080409,40
4.778777995,40
5.016229258,40
6.996589959,40
2.233903888,40
5.258462645,40
7.167894169,40
8.657115375,40
6.786098399,40
6.943228787,40
4.130602201,40
4.010855638,40
6.084387416,40
4.499319913,40
5.25096647,40
2.711722851,40
4.197374254,40
4.086441918,40
6.148723848,45
4.1686724,45
4.770532284,45
5.08021812,45
6.136390638,45
5.240317885,45
4.408670467,45
6.904856642,45
7.065232225,45
7.738432744,45
7.05985976,45
5.956692129,45
7.153583665,45
6.486950887,45
4.234156924,45
6.769688558,45
3.974515138,45
3.646555328,45
5.943566226,45
3.007997295,45
5.636772206,45
7.326511439,45
4.444339427,45
6.645917222,45
6.428584442,45
4.536843411,45
3.325359916,45
6.359998411,45
5.17398504,45
5.971881303,45
5.036402441,45
6.437388669,45
5.468658532,45
4.086081452,45
6.384866526,45
6.281411975,45
6.531920842,45
5.616065282,45
7.593436449,45
8.656560432,45
5.175912374,45
9.129777905,45
5.382757271,45
6.158071913,45
5.883086466,45
4.728127934,45
5.891414461,45
2.598230975,45
3.759593459,45
4.924960914,45
5.813244218,45
4.741323356,45
6.502019947,45
7.526656352,45
5.499064083,45
5.152152446,45
5.022435715,45
7.599124199,45
4.619508429,45
5.46773212,45
4.20845559,45
6.840986865,45
8.99252806,45
6.509461819,45
6.172547627,45
8.564334277,45
5.664676521,45
2.857981438,45
5.317745784,45
4.821993022,45
6.416956676,45
4.933970925,45
3.411131195,45
8.00546892,45
6.609718224,45
8.145361331,45
5.347960279,45
8.011851506,45
7.629711515,45
4.38489118,45
3.484214178,45
4.330370075,45
4.713107411,45
6.141794647,45
4.148805784,45
4.12470825,45
5.734113301,45
6.785852854,45
5.725162494,45
3.551157075,45
7.152079173,45
5.289824372,45
6.908468754,45
5.098923102,45
7.084739628,45
7.65077282,45
6.436780084,45
6.545509163,45
6.937982193,45
6.950477557,45
8.848326645,45
7.445058679,45
4.972853966,45
6.71870996,45
5.768944266,45
2.559361972,45
6.035568017,45
7.033483757,45
4.636633337,45
6.455845149,45
8.318037726,45
5.96402626,45
6.843827948,45
7.045136713,45
4.189997081,45
6.294579712,45
7.019243861,45
4.9482834,45
4.572939863,45
8.856669504,45
4.476931161,45
6.590193036,45
6.500696028,45
5.504396281,45
6.164117736,45
5.135043291,45
7.222051275,45
6.114718295,45
4.97775598,45
5.843772698,45
4.223548718,45
5.82992547,45
5.105083582,45
6.012789575,45
5.897232925,45
4.816753399,45
6.010579545,45
5.758479252,45
4.584226374,45
6.399821461,45
5.440046354,45
7.028000261,45
4.800613787,45
4.029795733,45
6.646790889,45
5.430744042,45
5.736935096,45
8.40646138,45
4.906107336,45
3.568303932,45
5.29912141,45
5.723384174,45
6.659577634,45
2.200329155,45
5.781253801,45
5.610162562,45
7.294817282,45
5.8386688,45
5.598721891,45
4.775331106,45
8.898929915,45
6.649752788,45
5.050188711,45
7.682624484,45
7.45796819,45
6.048296406,45
7.109439242,45
6.979919252,45
5.689025896,45
3.771789867,45
6.737224677,45
2.3013117,45
5.48825911,45
6.223182197,45
5.711922321,45
5.629532507,45
5.013888967,45
3.056068912,45
4.204817415,45
6.46712247,45
5.70514944,45
5.926081309,45
5.117163006,45
4.729497516,45
5.397288426,45
6.3181706,45
9.100669119,45
4.83860484,45
5.336209977,45
4.705358474,45
6.530253847,45
8.207242964,45
6.545367133,45
4.884120938,45
3.979089095,45
4.389842462,45
5.783715876,45
8.15368928,45
5.749345702,45
6.84949216,45
5.924747263,45
5.670767224,45
7.382023617,45
5.941685985,45
3.48071317,45
3.11068062,45
6.835674651,45
8.202533142,45
5.310920715,45
7.070867221,45
7.63927377,45
5.175010537,45
4.653506698,45
5.393311986,45
5.776002305,45
5.342028884,45
5.471763864,45
4.683360217,45
4.573173221,45
6.470434738,45
3.987741662,45
5.779051043,45
4.964078444,45
8.301953949,45
7.929712864,45
8.103463746,45
5.401764462,45
4.897016397,45
7.225682849,45
3.712195223,45
3.961027642,45
3.461109433,45
4.20237447,45
6.178373326,45
4.802441389,45
5.049802111,45
5.809897405,45
5.484087243,45
4.185328315,45
7.015726241,45
4.501481314,45
3.265146425,45
6.771187263,45
4.905108274,45
2.401286677,45
7.515159022,45
5.592838639,45
8.075714888,45
