log(MSE-Trunc-SVD-components),comp
6.290443198,40
4.195674903,40
5.263479302,40
5.177137445,40
6.186062367,40
5.403753578,40
4.644975551,40
6.953908302,40
7.245985635,40
7.780448479,40
7.08079658,40
5.978424534,40
7.22471323,40
6.513849236,40
4.419500011,40
6.895054326,40
4.18556977,40
3.798017578,40
6.095851402,40
3.18695007,40
5.785793646,40
7.378547991,40
4.414511358,40
6.677587086,40
6.449782528,40
4.655240397,40
3.513872996,40
6.388714392,40
5.260512454,40
6.077328199,40
5.112495887,40
6.527962513,40
5.566558155,40
4.265021614,40
6.429436757,40
6.562238553,40
6.575529415,40
5.907634113,40
7.602751815,40
8.716028579,40
5.300570076,40
9.211340138,40
5.483295634,40
6.282939276,40
5.915648562,40
4.833672279,40
5.957425631,40
3.13905643,40
3.796597152,40
4.975719413,40
5.960139382,40
4.848518996,40
6.569966374,40
7.529315942,40
5.522801511,40
5.282820482,40
5.195078622,40
7.612071964,40
4.566657072,40
5.513306791,40
4.200343073,40
6.828589003,40
9.030983557,40
6.610428046,40
6.162922785,40
8.609660264,40
5.784656089,40
2.958270937,40
5.592528808,40
4.892083912,40
6.476229031,40
4.937052853,40
3.643543401,40
8.036965941,40
6.730134813,40
8.132721264,40
5.432354174,40
8.063015096,40
7.672152098,40
4.638236056,40
3.694706939,40
4.447428931,40
4.853146751,40
6.25776013,40
4.397764605,40
4.231036771,40
5.829277351,40
6.848787945,40
5.958067092,40
3.745767136,40
7.151682398,40
5.413503242,40
6.932489469,40
5.155475977,40
7.185689279,40
7.802595727,40
6.495072382,40
6.59090604,40
6.97331314,40
6.959270869,40
8.852587621,40
7.455846831,40
5.089586661,40
6.827719576,40
5.827170478,40
2.652333332,40
6.124137331,40
7.075080175,40
4.791354031,40
6.461283957,40
8.311372488,40
6.071635162,40
6.869039321,40
7.099092771,40
4.32897563,40
6.364647118,40
7.094084919,40
5.120349387,40
4.765097129,40
8.930751727,40
4.577982956,40
6.857781369,40
6.62458616,40
5.603018741,40
6.224985735,40
5.228669951,40
7.242679425,40
6.217648059,40
5.052147382,40
5.996567889,40
4.429413277,40
5.824852204,40
5.185018149,40
6.089436856,40
5.90490843,40
4.914919372,40
6.104771911,40
5.886382338,40
4.657101338,40
6.427747058,40
5.567281356,40
7.043941513,40
4.902230939,40
4.154849979,40
6.689104603,40
5.531434152,40
5.737430999,40
8.419514554,40
5.039764783,40
3.855885619,40
5.369722366,40
5.811925051,40
6.760339614,40
2.418240487,40
5.827939378,40
5.605071846,40
7.419923586,40
5.963676069,40
5.84117841,40
4.917542899,40
8.930331875,40
6.762411174,40
5.140391718,40
7.704309708,40
7.446307571,40
6.090776269,40
7.12489466,40
7.016814664,40
5.804188982,40
3.94315149,40
6.753943023,40
2.570450836,40
5.618205394,40
6.242508214,40
5.779837751,40
5.727223977,40
5.106664598,40
3.233845013,40
4.371402928,40
6.521221591,40
5.766420091,40
6.126687195,40
5.198959915,40
4.894058844,40
5.50865033,40
6.381850588,40
9.123596452,40
4.947145377,40
5.346102998,40
4.78656676,40
6.704930253,40
8.235549993,40
6.591755883,40
4.984602859,40
4.23409213,40
4.508759639,40
5.865525631,40
8.210335761,40
5.752696688,40
6.873937184,40
5.977688644,40
5.787586411,40
7.466861599,40
6.030145005,40
3.911227706,40
3.287499162,40
6.898917266,40
8.251431325,40
5.381500982,40
7.120905545,40
7.663844326,40
5.312845416,40
4.789760311,40
5.484369216,40
5.957843271,40
5.466041692,40
5.577934127,40
4.822655425,40
4.70687743,40
6.497504798,40
4.347891767,40
5.824441011,40
5.130116197,40
8.31659658,40
7.955215517,40
8.185802743,40
5.49829805,40
4.965911421,40
7.332884349,40
3.820470527,40
4.160154,40
3.618125367,40
4.267674415,40
6.252472295,40
4.96573918,40
5.202466292,40
5.878839362,40
5.548333413,40
4.330413457,40
7.032575251,40
4.604428028,40
3.484836099,40
6.829452559,40
5.064108178,40
2.750296961,40
7.563412442,40
5.758373883,40
8.079494746,40
5.38974679,40
5.548168874,40
5.709946503,40
3.57542454,40
8.486951774,40
3.373128167,40
4.581856547,40
8.55648372,40
8.240518507,40
5.21841079,40
4.164061455,40
4.607794151,40
8.239588713,40
5.74562353,40
4.984050178,40
5.960373867,40
6.191868438,40
4.34900819,40
7.157984502,40
4.276579649,40
5.98096945,40
6.858696569,40
7.68093319,40
7.848143911,40
4.483949011,40
6.642036416,40
9.036469026,40
6.760382034,40
5.034883393,40
7.306002363,40
6.764528355,40
6.677004282,40
7.486727722,40
6.326716699,40
8.956148808,40
7.3010161,40
5.250897033,40
6.729863593,40
5.283983714,40
6.095190572,40
7.561527556,40
9.001688083,40
5.700760539,40
5.655052901,40
5.674406264,40
2.556808021,40
4.876026894,40
3.513023765,40
5.660094135,40
6.022852988,40
7.09747966,40
5.197262077,40
6.832102867,40
6.795371972,40
8.021041772,40
5.930587284,40
5.108848933,40
4.068040315,40
5.089725494,40
4.739927081,40
6.548121687,40
7.598144678,40
4.803742345,40
4.729851708,40
5.004179564,40
6.955329232,40
6.8387428,40
6.00018303,40
6.792902237,40
5.75578065,40
5.887388124,40
8.59873967,40
4.400028825,40
3.566735355,40
6.840263377,40
7.849528922,40
4.19630047,40
3.18648617,40
2.466766991,40
5.561196189,40
5.446235679,40
7.385313054,40
5.913828047,40
5.719775224,40
6.962837138,40
7.357938785,40
7.407109834,40
4.285981951,40
6.871746116,40
7.206927883,40
0.10910563,40
3.605984598,40
6.504194264,40
6.564104952,40
5.888085963,40
2.947072068,40
6.479144239,40
8.508218589,40
5.751929528,40
7.876974839,40
6.837536201,40
3.63299519,40
6.913495577,40
2.209364403,40
4.610860448,40
7.159301065,40
5.848552836,40
5.646319664,40
2.466820079,40
4.234253774,40
8.13678252,40
5.764191368,40
5.687240772,40
3.193377086,40
7.078729664,40
5.235626259,40
3.086980927,40
5.693830828,40
7.794384969,40
7.674554773,40
1.920625429,40
7.483299442,40
5.705329434,40
5.704105654,40
6.706731099,40
4.228358684,40
2.12257836,40
5.160580628,40
7.101662171,40
8.216996005,40
8.290798523,40
4.331821142,40
5.939198313,40
6.645283462,40
4.41147999,40
6.132989944,40
5.401711419,40
5.267480236,40
6.572194337,40
8.233593903,40
5.646945772,40
6.935388807,40
5.99001116,40
4.249262465,40
4.809240539,40
6.354114377,40
6.760232435,40
7.637942061,40
7.156759337,40
4.344540348,40
7.569866028,40
6.465831953,40
4.243306897,40
6.828186166,40
5.979081985,40
6.7070397,40
3.852127983,40
4.12680479,40
7.082256188,40
6.923895066,40
2.589001411,40
3.297561881,40
7.00258261,40
5.030661293,40
5.454563888,40
5.563213729,40
7.101600215,40
5.14271889,40
4.09639705,40
4.846730505,40
5.05384282,40
7.157820355,40
7.34554331,40
6.463405738,40
6.727613114,40
4.736763934,40
5.192448604,40
7.500753678,40
5.269606357,40
5.684410144,40
2.946320464,40
6.217761082,40
4.226140288,40
3.463674797,40
6.787473387,40
6.34987525,40
7.03899128,40
6.394154201,40
5.244469462,40
7.724665969,40
9.100219134,40
5.445187272,40
4.64116772,40
5.468834949,40
4.983918856,40
3.865763663,40
4.806183951,40
7.473728189,40
5.920298686,40
6.55667789,40
5.060146672,40
5.898679379,40
5.017812742,40
7.634152733,40
6.032877407,40
4.400837959,40
6.381933201,40
5.714698427,40
7.806370221,40
7.873429081,40
2.964743273,40
6.255099237,40
5.942770539,40
6.590485101,40
5.285331497,40
4.662662034,40
5.61800153,40
9.133012615,40
5.365159408,40
5.676463686,40
6.412611836,40
2.046615288,40
5.55176123,40
6.160584801,40
6.915127603,40
6.47788841,40
4.881138256,40
4.862910222,40
7.194783115,40
5.917097406,40
7.423274403,40
7.159243837,40
4.393761708,40
5.393386151,40
4.375351766,40
6.277441045,40
8.720526925,40
5.654045382,40
4.766490667,40
7.407089025,40
7.394458575,40
6.371795744,40
8.216494329,40
6.157357733,40
7.741754645,40
5.539130906,40
5.681720932,40
3.183158197,40
8.085913852,40
7.42325287,40
5.709926737,40
5.799598794,40
5.902971054,40
4.70043334,40
5.548086565,40
6.629261839,40
5.904498543,40
5.183608738,40
5.767347393,40
5.947376015,40
7.010281019,40
4.866805402,40
3.912510862,40
7.264928448,40
6.075179749,40
8.327052502,40
6.891969145,40
6.812643763,40
7.161842716,40
8.008998402,40
4.204112161,40
7.780378595,40
7.239546581,40
2.94088863,40
7.183236672,40
4.08486809,40
6.410866559,40
4.284274759,40
6.287392633,40
2.96386071,40
4.212713364,40
7.466577583,40
5.554012774,40
-0.524617604,40
5.830435739,40
4.819305388,40
5.648028445,40
6.642252481,40
4.969095349,40
7.157577833,40
6.599055576,40
2.425591281,40
5.903349281,40
3.889293804,40
5.127013263,40
4.250949112,40
7.130123237,40
6.312223193,40
6.488172645,40
7.381844759,40
7.819663589,40
6.970506157,40
5.765089835,40
8.492707528,40
5.54677167,40
6.957962706,40
5.725689646,40
5.873098212,40
7.942523049,40
1.934836577,40
5.656147428,40
7.309402735,40
5.770030426,40
7.85702058,40
3.97550401,40
4.174039309,40
5.950734061,40
7.329992259,40
5.32993783,40
5.89751272,40
5.979670222,40
4.652684338,40
6.686415063,40
6.789441768,40
2.441328822,40
6.078911941,40
5.853309532,40
5.303172049,40
7.582506045,40
7.267086074,40
6.68757336,40
6.893008513,40
7.239314452,40
3.456480711,40
5.176026706,40
5.572635525,40
3.293723836,40
8.47824829,40
3.421236044,40
8.523444913,40
8.221999284,40
5.194541661,40
5.325303163,40
5.272972797,40
7.190370409,40
5.667310726,40
7.713195075,40
6.256956896,40
5.2280003,40
5.825582316,40
6.137635332,40
6.685249265,40
5.76431092,40
6.643423376,40
6.257021131,40
6.212629886,40
2.905548701,40
4.392701911,40
6.517416078,40
4.478467233,40
5.732130507,40
1.657003718,40
7.087861465,40
4.438348008,40
4.894601178,40
7.376284605,40
3.061342151,40
5.013095542,40
5.404967082,40
6.60539331,40
3.230778582,40
4.775911301,40
4.575572807,40
6.711698089,40
4.285231474,40
2.286286299,40
4.937577623,40
6.522608704,40
6.260417022,40
5.715671159,40
4.25802739,40
6.231789993,40
6.255483666,40
6.713806827,40
6.173020996,40
5.928602355,40
7.199222723,40
8.396230489,40
4.472196848,40
5.552832184,40
5.381103617,40
6.067174857,40
4.998694165,40
5.909247857,40
3.513768472,40
5.609153713,40
5.092683951,40
6.217516098,40
4.841988005,40
6.79591627,40
4.281219176,40
6.506877943,40
6.789840721,40
5.804791265,40
7.790590243,40
5.962674037,40
8.90406331,40
6.566903882,40
8.029766257,40
3.273560274,40
3.365350812,40
4.961071225,40
4.7582692,40
6.230141822,40
6.651676886,40
8.057203464,40
5.174441359,40
8.302910966,40
2.215735723,40
4.775478342,40
6.259489353,40
7.656378481,40
2.444782819,40
0.788421293,40
6.973722294,40
5.874851776,40
5.216051349,40
6.085784184,40
6.589273675,40
7.91912206,40
4.429624268,40
6.989929184,40
8.61210786,40
5.045272479,40
5.161337477,40
7.701371795,40
5.99484194,40
4.876071817,40
4.5558326,40
4.924620402,40
5.042737743,40
3.652823436,40
7.34249663,40
4.691304485,40
7.617346011,40
6.523037813,40
2.281948194,40
4.034765781,40
5.569606576,40
1.956879688,40
5.70520338,40
2.819033005,40
4.927496469,40
6.929053809,40
6.752681138,40
0.205384245,40
6.639549562,40
6.663487833,40
6.388486288,40
4.719847139,40
7.227258331,40
7.014024791,40
-0.207301381,40
4.650712516,40
4.992417269,40
7.964368619,40
4.813809522,40
5.961716076,40
6.279386764,40
6.508218282,40
5.02293232,40
5.004349405,40
5.255294016,40
6.75984817,40
5.629658774,40
4.000545005,40
6.717686492,40
7.929128086,40
8.310510764,40
5.834237074,40
6.685385488,40
5.556354102,40
3.309070961,40
6.100553554,40
6.287235961,40
5.010194421,40
6.285497299,40
7.259498878,40
7.551113586,40
3.437578868,40
4.565639586,40
2.765512275,40
5.211848389,40
5.827009918,40
6.274438718,40
7.339566707,40
5.901775138,40
6.116576852,40
5.55480455,40
8.065089703,40
6.179163409,40
6.449211877,40
7.399412119,40
3.705901419,40
6.244015338,40
5.587504882,40
4.487032225,40
4.636279294,40
4.957107439,40
4.153605855,40
1.776383067,40
6.624558858,40
4.885321878,40
5.677529348,40
6.358721601,40
5.465482013,40
3.515714003,40
5.913974185,40
3.977934352,40
5.539760353,40
6.862705926,40
7.020337845,40
5.789066596,40
6.139952294,40
5.999100722,40
8.132494583,40
3.032935178,40
4.069659337,40
4.051023576,40
6.115481031,40
4.490792391,40
6.228785022,40
5.041687848,40
3.632188478,40
2.151289069,40
4.480472602,40
7.354344035,40
3.762711722,40
1.794793903,40
5.12683568,40
6.812298242,40
7.170930196,40
3.798548265,40
6.192044626,40
6.203633547,40
6.157547505,40
7.009184933,40
7.888086804,40
7.570902507,40
7.467131039,40
5.328798234,40
7.928196472,40
6.698290218,40
7.886769199,40
6.598898655,40
5.464414702,40
7.356278542,40
5.512429781,40
4.700300573,40
4.866547072,40
6.636288218,40
6.388863279,40
7.411591793,40
4.868497169,40
5.911291254,40
7.053176663,40
4.944613795,40
6.282722752,40
7.694442358,40
6.469161315,40
6.439446745,40
5.082044461,40
6.911553218,40
7.465690797,40
6.895794986,40
5.36473165,40
8.528359506,40
2.863292814,40
5.993691527,40
6.781354513,40
5.241421684,40
5.978790847,40
6.19167261,40
4.48450747,40
5.242011385,40
8.453401631,40
2.378918914,40
6.088075698,40
6.41348167,40
7.597078055,40
5.568986972,40
3.879095437,40
5.577980965,40
7.356273407,40
2.407665723,40
5.781890046,40
6.223024818,40
6.169267766,40
7.296929317,40
5.134818522,40
5.950485422,40
6.613421126,40
6.75374659,40
6.686407885,40
3.248656818,40
5.550174826,40
6.48321663,40
8.810433153,40
5.228922918,40
5.918025572,40
2.651793265,40
6.912323974,40
6.684461475,40
6.573040862,40
5.853393009,40
7.164344609,40
5.585119822,40
8.993204459,40
4.981054418,40
7.257453267,40
7.064316869,40
3.007570645,40
2.703633725,40
3.996460807,40
3.384678846,40
4.79957889,40
4.435921437,40
6.509115276,40
7.664734578,40
7.284278786,40
7.002534798,40
3.957259266,40
6.991797644,40
7.513180195,40
5.90507663,40
6.286023497,40
4.403762304,40
3.29393166,40
6.406752947,40
2.981580019,40
5.975037288,40
5.339110113,40
6.755439818,40
5.596988301,40
5.407916233,40
4.442882445,40
5.732672135,40
6.462239783,40
7.202395842,40
3.545402352,40
6.316447266,40
6.368088457,40
6.855003531,40
4.599035993,40
4.826611117,40
5.949336119,40
4.602067538,40
5.189172301,40
4.731646473,40
4.950784661,40
6.151925179,40
4.683258611,40
6.718714937,40
8.302863562,40
5.520179335,40
4.277388955,40
2.367691843,40
4.113278607,40
4.94501383,40
6.12287715,40
4.897614081,40
7.369086761,40
5.902327736,40
4.887803754,40
8.214519309,40
7.234566841,40
4.151159806,40
5.779048732,40
3.770828748,40
4.289857688,40
7.376092625,40
3.815617163,40
4.706273131,40
1.635835078,40
7.105410673,40
6.829813615,40
7.924704318,40
5.729127008,40
3.629490817,40
7.266653327,40
7.428130122,40
8.096492323,40
6.203922919,40
4.090936305,40
7.572490677,40
5.123770774,40
2.654881262,40
3.293039468,40
5.055141606,40
5.482856553,40
8.130032482,40
8.018253115,40
6.023535447,40
4.642165483,40
6.524120452,40
7.990852138,40
6.544888831,40
6.163827946,40
6.515782697,40
4.92427678,40
4.586781628,40
7.291202875,40
6.86325201,40
7.587305239,40
5.036662643,40
7.706969527,40
4.952240513,40
4.39274286,40
3.108385393,40
3.719218224,40
1.310807453,40
6.01181092,40
4.975048384,40
7.431945443,40
5.113808085,40
6.2968751,40
6.395185964,40
6.230182625,40
3.86429775,40
7.18013609,40
4.42976757,40
7.622226644,40
6.989860059,40
6.043534037,40
7.102916506,40
4.785246946,40
5.016993315,40
7.003217439,40
2.237947283,40
5.260891118,40
7.168807096,40
8.656417195,40
6.788331356,40
6.950405065,40
4.200159153,40
4.040774583,40
6.086493544,40
4.511566694,40
5.237024306,40
2.711763391,40
4.197353147,40
4.085944769,40
6.144676905,45
4.115499321,45
4.778687689,45
5.084414436,45
6.13391234,45
5.242254705,45
4.409255315,45
6.90990362,45
7.044443509,45
7.74169606,45
7.067776298,45
5.949608036,45
7.16279261,45
6.481767063,45
4.26229296,45
6.771189992,45
3.988899272,45
3.645000876,45
5.927769258,45
3.008048542,45
5.622803889,45
7.326424555,45
4.442152798,45
6.640419358,45
6.415311358,45
4.537925859,45
3.32654002,45
6.35561494,45
5.163330622,45
5.976804233,45
5.062603145,45
6.430819966,45
5.445875537,45
4.083688726,45
6.382022235,45
6.290080441,45
6.533714449,45
5.622514074,45
7.596354076,45
8.656612777,45
5.189773979,45
9.127006024,45
5.377983675,45
6.17933189,45
5.883646766,45
4.744617881,45
5.896448109,45
2.596393457,45
3.736983828,45
4.933427335,45
5.82276551,45
4.741318695,45
6.505781506,45
7.532623749,45
5.503308321,45
5.151177298,45
5.027597052,45
7.6101551,45
4.643141099,45
5.463023927,45
4.208182607,45
6.838156843,45
8.98829744,45
6.500259126,45
6.156054658,45
8.563817478,45
5.667272533,45
2.856626816,45
5.324720106,45
4.809303121,45
6.407481092,45
4.928677267,45
3.41346165,45
8.013749717,45
6.601109244,45
8.132215407,45
5.347860232,45
8.017341053,45
7.628950071,45
4.373439224,45
3.484285796,45
4.328281703,45
4.700387699,45
6.170662174,45
4.147811371,45
4.122326664,45
5.73977888,45
6.777984263,45
5.721074725,45
3.55370181,45
7.154835059,45
5.265655323,45
6.911178794,45
5.112036321,45
7.077884162,45
7.655813228,45
6.439487155,45
6.543314686,45
6.944039385,45
6.934046404,45
8.842681459,45
7.447485336,45
4.97888103,45
6.715990761,45
5.752809534,45
2.558178581,45
6.035496071,45
7.043427489,45
4.603570702,45
6.4588318,45
8.318854238,45
5.963099734,45
6.831929056,45
7.046415647,45
4.189514629,45
6.285716208,45
7.032193218,45
4.965623627,45
4.577000948,45
8.85476741,45
4.466389795,45
6.589381514,45
6.50022009,45
5.514201416,45
6.186261714,45
5.143677116,45
7.22815642,45
6.098317296,45
4.963208108,45
5.84738195,45
4.233699742,45
5.834821356,45
5.105075992,45
6.024227888,45
5.899559555,45
4.809237428,45
6.003332963,45
5.76453945,45
4.585661357,45
6.403102631,45
5.467663592,45
7.039549547,45
4.776855313,45
4.039683046,45
6.644342255,45
5.445581047,45
5.738303606,45
8.409132402,45
4.902762062,45
3.568530272,45
5.279956395,45
5.716091156,45
6.661608657,45
2.203779584,45
5.764314893,45
5.628556128,45
7.292022717,45
5.841910658,45
5.603102051,45
4.778567739,45
8.895547475,45
6.646571127,45
5.069440132,45
7.678949337,45
7.466016792,45
6.034254136,45
7.119495521,45
7.001495221,45
5.674679383,45
3.796041782,45
6.744016213,45
2.304853027,45
5.485520166,45
6.221116778,45
5.713846812,45
5.637919889,45
5.019167718,45
3.056452393,45
4.205708976,45
6.453422529,45
5.701847111,45
5.939912221,45
5.124657378,45
4.74788968,45
5.396937312,45
6.329195713,45
9.101111253,45
4.83033647,45
5.310767239,45
4.713744146,45
6.540063296,45
8.206611321,45
6.541302066,45
4.882944212,45
3.979726716,45
4.362539239,45
5.803216083,45
8.148641686,45
5.756266187,45
6.852860472,45
5.930567216,45
5.661062882,45
7.381578775,45
5.956680754,45
3.480898234,45
3.113132071,45
6.839377039,45
8.202397822,45
5.296956272,45
7.074713436,45
7.643368354,45
5.168327408,45
4.652207105,45
5.347194865,45
5.788266131,45
5.355932236,45
5.475742745,45
4.666658262,45
4.565638316,45
6.444875895,45
3.988430621,45
5.791366909,45
4.958374285,45
8.29549386,45
7.933344155,45
8.111125534,45
5.39404652,45
4.889654555,45
7.224903971,45
3.713257165,45
3.960713765,45
3.46124739,45
4.203984315,45
6.165700294,45
4.805765278,45
5.040265697,45
5.817256744,45
5.512046317,45
4.202557756,45
7.012372131,45
4.501700311,45
3.267917074,45
6.778232981,45
4.884803674,45
2.409724117,45
7.532030556,45
5.606302564,45
8.072129048,45
